case,Pop,sex,age,Age Comparison
1,Vic,m,8,Younger
2,Vic,f,6,Younger
3,Vic,f,6,Younger
4,Vic,f,6,Younger
5,Vic,f,2,Younger
6,Vic,f,1,Younger
7,Vic,m,2,Younger
8,Vic,f,6,Younger
9,Vic,f,9,Older
10,Vic,f,6,Younger
11,Vic,f,9,Older
12,Vic,f,5,Younger
13,Vic,m,5,Younger
14,Vic,m,3,Younger
15,Vic,m,5,Younger
16,Vic,m,4,Younger
17,Vic,f,1,Younger
18,Vic,m,2,Younger
19,Vic,f,5,Younger
20,Vic,f,4,Younger
21,Vic,f,3,Younger
22,Vic,m,3,Younger
23,Vic,f,4,Younger
24,Vic,m,2,Younger
25,Vic,m,3,Younger
26,Vic,m,7,Younger
27,Vic,f,2,Younger
28,Vic,m,4,Younger
29,Vic,f,3,Younger
30,Vic,f,2,Younger
31,Vic,m,3,Younger
32,Vic,f,4,Younger
33,Vic,m,3,Younger
34,Vic,m,2,Younger
35,Vic,m,4,Younger
36,Vic,m,7,Younger
37,Vic,f,2,Younger
38,Vic,m,7,Younger
39,Vic,f,1,Younger
40,Vic,f,3,Younger
41,Vic,f,5,Younger
42,Vic,m,3,Younger
43,Vic,f,2,Younger
44,Vic,m,3,Younger
45,Vic,m,3,Younger
46,Vic,m,4,Younger
47,other,m,2,Younger
48,other,m,5,Younger
49,other,m,4,Younger
50,other,f,5,Younger
51,other,f,5,Younger
52,other,m,6,Younger
53,other,f,3,Younger
54,other,m,7,Younger
55,other,m,2,Younger
56,other,m,3,Younger
57,other,f,4,Younger
58,other,m,3,Younger
59,other,m,2,Younger
60,other,f,2,Younger
61,other,m,7,Younger
62,other,f,3,Younger
63,other,f,6,Younger
64,other,f,3,Younger
65,other,f,5,Younger
66,other,f,3,Younger
67,other,m,4,Younger
68,other,m,5,Younger
69,other,m,5,Younger
70,other,f,7,Younger
71,other,m,6,Younger
72,other,m,1,Younger
73,other,m,1,Younger
74,other,f,4,Younger
75,other,m,6,Younger
76,other,m,5,Younger
77,other,m,6,Younger
78,other,m,1,Younger
79,other,m,1,Younger
80,other,m,1,Younger
81,other,m,3,Younger
82,other,f,4,Younger
83,other,f,3,Younger
84,other,m,3,Younger
85,other,m,3,Younger
86,other,f,3,Younger
87,other,m,2,Younger
88,other,f,2,Younger
89,other,m,6,Younger
90,other,m,3,Younger
91,other,m,3,Younger
92,other,m,2,Younger
93,other,m,3,Younger
94,other,m,7,Younger
95,other,m,4,Younger
96,other,m,4,Younger
97,other,m,3,Younger
98,other,m,5,Younger
99,other,f,3,Younger
100,other,m,1,Younger
101,other,m,1,Younger
102,other,f,6,Younger
103,other,m,4,Younger
104,other,f,3,Younger
,,AVERAGE AGE,3.83,
,,,,
,,,,
sex,(All),,,
,,,,
Row Labels,Average of age,,,
other, 3.69 ,,,
Vic, 4.00 ,,,
Grand Total,3.83,,,
